id_produto,nome_produto,categoria
P001,Produto 1,Elétrica
P002,Produto 2,Motor
P003,Produto 3,Freios
P004,Produto 4,Freios
P005,Produto 5,Motor
P006,Produto 6,Elétrica
P007,Produto 7,Elétrica
P008,Produto 8,Suspensão
P009,Produto 9,Suspensão
P010,Produto 10,Elétrica
P011,Produto 11,Motor
P012,Produto 12,Suspensão
P013,Produto 13,Motor
P014,Produto 14,Motor
P015,Produto 15,Freios
P016,Produto 16,Elétrica
P017,Produto 17,Suspensão
P018,Produto 18,Freios
P019,Produto 19,Suspensão
P020,Produto 20,Freios
