data,id_produto,quantidade_vendida,preco_unitario,regiao
2024-01-07,P016,16,290.15,Centro-Oeste
2024-01-07,P011,10,545.93,Sul
2024-01-07,P020,17,222.17,Sul
2024-01-07,P008,18,61.78,Norte
2024-01-07,P010,20,162.39,Centro-Oeste
2024-01-07,P019,3,551.01,Nordeste
2024-01-07,P011,7,274.31,Norte
2024-01-07,P003,10,545.3,Nordeste
2024-01-07,P004,20,38.37,Nordeste
2024-01-07,P001,20,103.06,Sul
2024-01-07,P009,17,442.32,Sul
2024-01-07,P020,14,175.17,Centro-Oeste
2024-01-07,P009,12,153.61,Nordeste
2024-01-07,P004,11,482.68,Centro-Oeste
2024-01-07,P011,2,770.84,Centro-Oeste
2024-01-07,P019,9,459.19,Sudeste
2024-01-07,P006,15,797.68,Nordeste
2024-01-07,P001,14,335.73,Nordeste
2024-01-07,P004,20,126.73,Norte
2024-01-07,P004,19,184.78,Centro-Oeste
2024-01-07,P016,2,706.4,Sudeste
2024-01-07,P019,4,670.62,Centro-Oeste
2024-01-07,P012,14,434.37,Norte
2024-01-07,P014,1,151.35,Norte
2024-01-07,P007,20,270.17,Sul
2024-01-07,P004,13,551.49,Sudeste
2024-01-07,P012,5,601.27,Nordeste
2024-01-07,P005,13,566.02,Sudeste
2024-01-07,P017,14,477.68,Nordeste
2024-01-07,P007,5,183.44,Norte
2024-01-14,P001,16,343.6,Sudeste
2024-01-14,P020,13,33.68,Nordeste
2024-01-14,P007,17,687.23,Norte
2024-01-14,P012,6,64.09,Sudeste
2024-01-14,P017,8,221.87,Nordeste
2024-01-14,P011,7,111.32,Centro-Oeste
2024-01-14,P017,4,62.43,Norte
2024-01-14,P004,16,693.52,Centro-Oeste
2024-01-14,P010,6,544.26,Sudeste
2024-01-14,P011,15,378.05,Nordeste
2024-01-14,P013,20,180.69,Centro-Oeste
2024-01-14,P011,3,403.35,Sudeste
2024-01-14,P016,14,327.22,Centro-Oeste
2024-01-14,P005,19,323.09,Sul
2024-01-14,P004,9,299.32,Norte
2024-01-14,P002,4,592.01,Nordeste
2024-01-14,P005,12,763.34,Sudeste
2024-01-14,P005,17,57.23,Centro-Oeste
